Тип;Название;Ккал;Белки;Жиры;Углеводы;МассаПорции;Примечание;Источник
ПРОДУКТ;street food hamburger & hot dog savge;383.2;0.8;36;14;0;;
ПРОДУКТ;super step большой оранжевый;430;5.5;57;57;0;;
ПРОДУКТ;tartar sauce;445;1;45;9;0;;
ПРОДУКТ;texas bbq merce;87;0.5;0.6;20;0;;
ПРОДУКТ;toustový chleb;278;9.5;3.9;49;0;;
ПРОДУКТ;traditional muesli;357;12;5.6;67;0;;
ПРОДУКТ;troskinta jautiena;239;11.8;21.3;0;0;;
ПРОДУКТ;valio;168;7.1;14;4.3;0;;
ПРОДУКТ;vanil cukrus;398;0;0;100;0;;
ПРОДУКТ;vegan mayo;643;0.1;70;3.1;0;;
ПРОДУКТ;vitaWHEY Киви-Лимон-Мята;299;60.6;2.2;4.2;0;;
ПРОДУКТ;väike tom mingo-mango;155;2;5.7;22;0;;
ПРОДУКТ;white aerated;570;5;39;54;0;;
ПРОДУКТ;zemeņu jogurts;75;2.9;2.2;11;0;;
ПРОДУКТ;zuvis tesloje;226;10.5;10.4;22.1;0;;
ПРОДУКТ;Înghețată Levănțică Afine;254;4;10;37;0;;
ПРОДУКТ;Ādažu Virpuļi;472;3.2;23;64;0;;
ПРОДУКТ;Ādažu sēnes krējuma mērcē;533;6.1;32;52;0;;
ПРОДУКТ;Ādažu Čili citrus;550;5.2;35;53;0;;
ПРОДУКТ;Čedaras Red;361;23;29;0;0;;
ПРОДУКТ;Čerstvé kynuté těsto;304;6.4;7.5;48;0;;
ПРОДУКТ;Čipsi 01;549;6.1;32;53;0;;
ПРОДУКТ;Čokopiškoty;360;3.3;7.1;70;0;;
ПРОДУКТ;Čočka zelená;327;24;0;53;0;;
ПРОДУКТ;Čočka červená;342;27;0.9;52;0;;
ПРОДУКТ;ĶAZAKHSTAN;532.74;6.3;33.4;52.7;0;;
ПРОДУКТ;Łaciate Mleko Protein;54;8;0.5;4.7;0;;
ПРОДУКТ;Łosoś Atlantycki;177;20;11;0.5;0;;
ПРОДУКТ;Śmietanka 12;134;2.7;12;3.8;0;;
ПРОДУКТ;Šampanas BOSCA;75;1;0;6.5;0;;
ПРОДУКТ;Šampita;313;3.5;3.5;66.7;0;;
ПРОДУКТ;Šokoladas be cukraus;477;6.8;35;47;0;;
ПРОДУКТ;Šokoladas su lazdynų riešutais;162;21;5.4;4.4;0;;
ПРОДУКТ;Šunka nejvyšší jakosti;111;18;3.5;1.2;0;;
ПРОДУКТ;Šunka řemeslná;107;18;3.5;0.7;0;;
ПРОДУКТ;Žāvētu Plūmju, Graudu, Linsēklu Raudzēts Piena Produkts;71;3.1;1.9;10.4;0;;
ПРОДУКТ;žemes riešutai;588;25;49;7.4;0;;
ПРОДУКТ;Βρωμη Berries Κακάο Protein Plus;50;2.7;1;6.9;0;;
ПРОДУКТ;Ρύζι Parboiled Με Wild Rice;351;8.3;1.3;74;0;;
ПРОДУКТ;Ёжики из индейки;242;11.1;17.6;9.8;0;;
ПРОДУКТ;Ёжики куриные;220;9;14;14;0;;
ПРОДУКТ;Ёрш;90.33;17.5;2;0;0;;
ПРОДУКТ;Ікра;354;5.5;34.9;4.5;0;;
ПРОДУКТ;АЙРАН СИНИЙ MEGGL E;34;1.5;2.2;2.1;0;;
ПРОДУКТ;АНАКОМ СУП-ЛАПША СО ВКУСОМ КУРИЦЫ;400;9;19;48;0;;
ПРОДУКТ;АРАБИКА кофе натуральный растворимый сублимированный;396.6;14.4;15.4;40.2;0;;
ПРОДУКТ;АТИБИО;73;2.9;1.5;11.9;0;;
ПРОДУКТ;Абрикос;41.52;0.9;0.1;9;0;;
ПРОДУКТ;Абрикос консервированный;66.12;0.4;0.1;15.5;0;;
ПРОДУКТ;Абрикос сушеный б/к (курага;228;5.2;0.3;51;0;;
ПРОДУКТ;Абрикосовая косточка;545.56;14;27.7;56.3;0;;
ПРОДУКТ;Абрикосовый компот;88.15;0.5;0;21;0;;
ПРОДУКТ;Абрикосовый нектар;63;0;0;15.3;0;;
ПРОДУКТ;Абрикосовый пирог;299;3.9;9.8;48.8;0;;
ПРОДУКТ;Абрикосовый сок;41.52;0.9;0.1;9;0;;
ПРОДУКТ;Абрикосовый сок холодного отжима Organic;50;0.4;0;12;0;;
ПРОДУКТ;Абрикосы в легком сиропе;85;0.4;0.1;20;0;;
ПРОДУКТ;Абрикосы очищенные половинками в сиропе консервированные;71;0.5;0.5;18;0;;
ПРОДУКТ;Абсент;36.08;0;0;8.8;0;;
ПРОДУКТ;Абузно-дынный коктель без сахара;190;0.4;1.3;66;0;;
ПРОДУКТ;Авокадо;218.6;2;20;6;0;;
ПРОДУКТ;Австрийский штрудель вишня и ваниль;380;5;15;55;0;;
ПРОДУКТ;Австрийский штрудель с вишней;255;4.3;9.7;37.5;0;;
ПРОДУКТ;Агар пищевой;328;4;0;76;0;;
ПРОДУКТ;Агуша биокефирная без добавления сахара;60;3.2;3.1;4.7;0;;
ПРОДУКТ;Агуша кашка рис-кукуруза;68;3.1;2;9.1;0;;
ПРОДУКТ;Агуша полезный перекус;307;5;0.67;66.7;0;;
ПРОДУКТ;Агуша пюре;52;0;0;13;0;;
ПРОДУКТ;Агуша творожок черника;104;7.3;3.9;9.8;0;;
ПРОДУКТ;Агуша яблоко персик;48;0;0;12;0;;
ПРОДУКТ;Аджика;62.25;1;3.7;5.8;0;;
ПРОДУКТ;Аджика Острая;95;2.5;3;14.5;0;;
ПРОДУКТ;Адыгейский Лёгкий;154.2;22.8;7;1.2;0;;
ПРОДУКТ;Ажгон;264.27;19.7;14.5;11.9;0;;
ПРОДУКТ;Азиатская смесь овощная быстрозамороженная;65;2.5;4.3;4;0;;
ПРОДУКТ;Азу;222.53;11.9;14.2;10.2;0;;
ПРОДУКТ;Азу Из Индейки;171.6;26.7;7.2;0;0;;
ПРОДУКТ;Азу из говядины;130.67;11;4.6;11.1;0;;
ПРОДУКТ;Айва;47.28;0.6;0.5;9.8;0;;
ПРОДУКТ;Айвар;336;1.1;4.3;8.1;0;;
ПРОДУКТ;Айвовый компот;83.64;0.4;0;20;0;;
ПРОДУКТ;Айвовый сок;45.51;0.5;0;10.6;0;;
ПРОДУКТ;Айран;30.2;2;1;3.3;0;;
ПРОДУКТ;Айран (тан) газированный;24.18;1.1;1.5;1.4;0;;
ПРОДУКТ;Айран (тан) из козьего молока;24.18;1.1;1.5;1.4;0;;
ПРОДУКТ;Айран (тан) негазированный;24.18;1.1;1.5;1.4;0;;
ПРОДУКТ;Айран (тан) негазированный нежирный;12.11;1.1;0.2;1.4;0;;
ПРОДУКТ;Айран (тан) с укропом и огурцом;19.54;1.1;1;1.4;0;;
ПРОДУКТ;Айран (тан) сильногазированный;19.54;1.1;1;1.4;0;;
ПРОДУКТ;Айран harmonika;41;2.2;2.3;2.9;0;;
ПРОДУКТ;Айран Верея;32;2.2;1;3.6;0;;
ПРОДУКТ;Айран Мегле;34;1.5;2.2;2.1;0;;
ПРОДУКТ;Айран Турецкий;30;1.3;1.8;2.5;0;;
ПРОДУКТ;Айран по-турецки с укропом;184;2;1.7;5.1;0;;
ПРОДУКТ;Айран с массовой долей жира 2,0;30;1.4;2;1.8;0;;
ПРОДУКТ;Айсбон, Манго & Малина;304;4;16.6;33.3;0;;
ПРОДУКТ;Айсинг;332.51;2.3;0;78.8;0;;
ПРОДУКТ;Аки;176.25;1;15;8;0;;
ПРОДУКТ;АктиБио;73.37;2.9;1.5;11.9;0;;
ПРОДУКТ;АктиБио вишня биойогурт;102;4;2.9;15;0;;
ПРОДУКТ;АктиБио с пробиотиками и злаками;98;4.6;2.9;13.4;0;;
ПРОДУКТ;Активиа Биойогурт Киви и мюсли;108.2;3.9;3;16.4;0;;
ПРОДУКТ;Активиа Биойогурт груша черника;80;3.9;2.9;9.6;0;;
ПРОДУКТ;Активиа Быстрый завтрак Клубника;129.33;4.3;2.8;20.9;0;;
ПРОДУКТ;Активиа Быстрый завтрак Натуральный;107.52;4.8;3.1;14.4;0;;
ПРОДУКТ;Активиа Быстрый завтрак с овсянкой Яблоко-Груша;112.03;3.6;3.1;16.7;0;;
ПРОДУКТ;Активиа Кефирная 1;39.63;2.9;1;4.5;0;;
ПРОДУКТ;Активиа Кефирная 3;54.52;2.9;3;3.6;0;;
ПРОДУКТ;Активиа Момент удовольствия Вишня;98.88;4.3;2.7;13.7;0;;
ПРОДУКТ;Активиа Момент удовольствия Земляника;95.6;4.3;2.7;12.9;0;;
ПРОДУКТ;Активиа Питьевая Ананас;80.08;2.8;2;12.2;0;;
ПРОДУКТ;Активиа Питьевая Бифидойогурт Классический 1.5;45.51;3.2;1.5;4.5;0;;
ПРОДУКТ;Активиа Питьевая Вишня и чёрная смородина;81.72;2.6;2;12.8;0;;
ПРОДУКТ;Активиа Питьевая Злаки;82.76;2.8;2.2;12.4;0;;
ПРОДУКТ;Активиа Питьевая Клубника и земляника;82.76;2.8;2.2;12.4;0;;
ПРОДУКТ;Активиа Питьевая Малина и злаки;76.09;2.8;2.1;11;0;;
ПРОДУКТ;Активиа Питьевая Натуральная;53.87;3.2;2.4;4.5;0;;
ПРОДУКТ;Активиа Питьевая Чернослив;82.54;2.8;2;12.8;0;;
ПРОДУКТ;Активиа Питьевая Яблоко и злаки;85.22;2.8;2.2;13;0;;
ПРОДУКТ;Активиа Семейная Клубника;101.48;3.9;3.2;13.6;0;;
ПРОДУКТ;Активиа Семейная Персик;101.48;3.9;3.2;13.6;0;;
ПРОДУКТ;Активиа Творожная Клубника;125.86;5;4.5;15.5;0;;
ПРОДУКТ;Активиа Творожная Малина;105.76;4.2;4.5;11.4;0;;
ПРОДУКТ;Активиа Творожная Мюсли;125.86;5;4.5;15.5;0;;
ПРОДУКТ;Активиа Творожная Мюсли и манго;121.75;4.8;4.5;14.7;0;;
ПРОДУКТ;Активиа Творожная Натуральная;81.17;5.9;4.5;3.7;0;;
ПРОДУКТ;Активиа Творожная Отруби и злаки;116.21;4.9;4.3;13.7;0;;
ПРОДУКТ;Активиа Творожная Чернослив;117.33;4.7;4.2;14.4;0;;
ПРОДУКТ;Активиа Термостатная;64.7;3.5;3.5;4.8;0;;
ПРОДУКТ;Активиа Фреш Арбуз;76.77;2.8;1.6;12.3;0;;
ПРОДУКТ;Активиа Фреш Вишня;71.44;2.8;1.6;11;0;;
ПРОДУКТ;Активиа Фреш Гранат и Малина;71.44;2.8;1.6;11;0;;
ПРОДУКТ;Активиа Фреш Манго;75.54;2.8;1.6;12;0;;
ПРОДУКТ;Активиа Фреш Персик;71.44;2.8;1.6;11;0;;
ПРОДУКТ;Активиа Черника Йогурт;77;2.9;2.1;11.5;0;;
ПРОДУКТ;Актуаль (вкус апельсин-манго;47;0.5;0;11.2;0;;
ПРОДУКТ;Актуаль, вкус клубника-малина;41.11;0.3;0;9.8;0;;
ПРОДУКТ;Акула катран;146.62;19.9;7;0;0;;
ПРОДУКТ;Акульи плавники;130.69;21;4.8;0;0;;
ПРОДУКТ;Ала Каймак Мягкий сливочный сыр;240;6.1;23.5;1.1;0;;
ПРОДУКТ;Аленка;540;5.5;31;59;0;;
ПРОДУКТ;Аленка Торт Вафельный;548;4;32;60;0;;
ПРОДУКТ;Алоэ Вера Оригинал;35;0;0;9;0;;
ПРОДУКТ;Алоэ Вера напиток “ALEO Premium;36;0;0;8.9;0;;
ПРОДУКТ;Алпенланд йогурт с персиком и маракуйей;75;2.4;0.3;15.9;0;;
ПРОДУКТ;Алтайская сказка;330;12;2;67;0;;
ПРОДУКТ;Алыча;29.11;0.2;0;6.9;0;;
ПРОДУКТ;Алёнка;540;5.5;31;59;0;;
ПРОДУКТ;Алёнка 100гр в стихах молочная (синяя;570;8.5;38;49;0;;
ПРОДУКТ;Алёнка молочный шоколад;560;7;36;52;0;;
ПРОДУКТ;Алёнка пирожное (крем сливочный;410;5;18;56;0;;
ПРОДУКТ;Амарант;403.69;13.6;7;69;0;;
ПРОДУКТ;Амарантовые Хлебцы;388;11.6;7.3;69.2;0;;
ПРОДУКТ;Амарантовые колечки с какао;371;6.5;1.9;82;0;;
ПРОДУКТ;Амарантовые отруби Di&Di с гречей;354.49;19;5.5;55;0;;
ПРОДУКТ;Амарантовые отруби Di&Di с ламинарией;282.72;20.4;5.1;37;0;;
ПРОДУКТ;Амарантовые отруби Di&Di с топинамбуром;354.49;19;5.5;55;0;;
ПРОДУКТ;Американо;510;5.5;27;62;0;;
ПРОДУКТ;Американская смесь Hortex;35.4;2.4;0.5;5.1;0;;
ПРОДУКТ;Амур белый;125.5;18.6;5.3;0;0;;
ПРОДУКТ;Амур чёрный;90.33;17.5;2;0;0;;
ПРОДУКТ;Ананас;46.96;0.4;0.2;10.6;0;;
ПРОДУКТ;Ананас Порезанный Очищенный;49.3;0.3;0.1;11.6;0;;
ПРОДУКТ;Ананас Резаный;49.3;0.3;0.1;11.8;0;;
ПРОДУКТ;Ананас консервированный;58.74;0.1;0.1;14;0;;
ПРОДУКТ;Ананасовый компот;58.74;0.1;0.1;14;0;;
ПРОДУКТ;Ананасовый нектар;53.3;0.1;0;12.9;0;;
ПРОДУКТ;Ананасовый сок;55;0;0;14;0;;
ПРОДУКТ;Ананасы Кусочками;48;0.4;0;11.8;0;;
ПРОДУКТ;Ананасы Кусочки В Сиропе;64;0;0;16;0;;
ПРОДУКТ;Ананасы в легком сиропе кусочками;62.14;15;0;0.4;0;;
ПРОДУКТ;Ананасы кольца в сиропе;65;0;0;16;0;;
ПРОДУКТ;Ананасы кусочки в легком сиропе;70.03;0;0;17;0;;
ПРОДУКТ;Анасовый сок;44;0;0;11;0;;
ПРОДУКТ;Английская Булочка С Пастарами Из Индейки;230;11;11;22;0;;
ПРОДУКТ;Английский завтрак;197;8.39;13.4;11.53;0;;
ПРОДУКТ;Ангостура Ароматик Биттерс;257;0;0;1.5;0;;
ПРОДУКТ;Ангурия (Антильский огурец;50.62;1.8;1.3;7.6;0;;
ПРОДУКТ;Анис;365.01;17.6;15.9;35.4;0;;
ПРОДУКТ;Антарктик-криль классический;407;4.6;40.6;5.7;0;;
ПРОДУКТ;Антрекот;408.75;27.3;31.2;1.7;0;;
ПРОДУКТ;Антрекот из говядины;225.41;29.6;11.2;0;0;;
ПРОДУКТ;Антрекот из свинины;208.71;28.7;9.8;0;0;;
ПРОДУКТ;Анчоус Соленый;226;44;2.2;7.6;0;;
ПРОДУКТ;Анчоус атлантический;139.08;20.1;6.1;0;0;;
ПРОДУКТ;Анчоусная паста;271.64;26;16;4;0;;
ПРОДУКТ;Анчоусы консервированные;139.08;20.1;6.1;0;0;;
ПРОДУКТ;Аньолотти;344.37;10;1.1;71.5;0;;
ПРОДУКТ;Апельсин;42;0;0;10.5;0;;
ПРОДУКТ;Апельсин 100% сок;40;0;0;10;0;;
ПРОДУКТ;Апельсин Шоколад;490;6;27;55;0;;
ПРОДУКТ;Апельсин маринованный;38.95;0.6;0;8.9;0;;
ПРОДУКТ;Апельсининовый нектар;42;0;0;10.5;0;;
ПРОДУКТ;Апельсиновый Марципан;496;8.1;30;46;0;;
ПРОДУКТ;Апельсиновый нектар;42.64;0.3;0;10.1;0;;
ПРОДУКТ;Апельсиновый нектар пастеризованный;48;0;0;12;0;;
ПРОДУКТ;Апельсиновый сок;38.76;0.9;0.2;8.1;0;;
ПРОДУКТ;Апельсиновый сок. Восстановленный;44;0;0;11;0;;
ПРОДУКТ;Аппетита с нежно-острым соусом;70;1;3.5;9;0;;
ПРОДУКТ;Аппетитка;70;1;3.5;9;0;;
ПРОДУКТ;Аппетитка с бакинскими томатами и перчиком пепперони;70;1;3.5;9;0;;
ПРОДУКТ;Ар'Лаваш Ролл (Лаваш Армянский тонкий;210;6.8;0.8;43.8;0;;
ПРОДУКТ;Арахис;607;24;50;12;0;;
ПРОДУКТ;Арахис «сыр;490;15;27;42;0;;
ПРОДУКТ;Арахис В Оболочке С Сыром;551;26.3;45.2;9.9;0;;
ПРОДУКТ;Арахис Джаз жареный соленый;655.28;25;52;17;0;;
ПРОДУКТ;Арахис Соленый;630;22;52;11;0;;
ПРОДУКТ;Арахис Степановна обжаренный соленый;609.45;29.2;50.2;5.7;0;;
ПРОДУКТ;Арахис в глазури со вкусом «Четыре сыра;477;12.37;21.4;58.6;0;;
ПРОДУКТ;Арахис в глазури со вкусом васаби;572;24;43;8;0;;
ПРОДУКТ;Арахис джин;640;25;52;17;0;;
ПРОДУКТ;Арахис жаренный с солью;620;25;52;13;0;;
ПРОДУКТ;Арахис жаренный соленый;622;28;50;15;0;;
ПРОДУКТ;Арахис жареный;600;25;48;16;0;;
ПРОДУКТ;Арахис жареный с солью;610;29;50;11;0;;
ПРОДУКТ;Арахис жареный соленый;585;23.7;49.6;21.5;0;;
ПРОДУКТ;Арахис жареный солёный;640;25;52;17;0;;
ПРОДУКТ;Арахис и карамель;544;9.2;33;51;0;;
ПРОДУКТ;Арахис обжаренный соленый;584;27.1;48.5;10;0;;
ПРОДУКТ;Арахис обжаренный солёный;590;26.9;47.5;10.2;0;;
ПРОДУКТ;Арахис очищенный, сырой;256.43;1.48;0.78;81.6;0;;
ПРОДУКТ;Арахис сушеный;630.36;29.2;50.2;10.8;0;;
ПРОДУКТ;Арахисовая Паста;670.7;29.7;55.1;14;0;;
ПРОДУКТ;Арахисовая Паста С Кусочками;590;21;44;28;0;;
ПРОДУКТ;Арахисовая Паста Хрустящая;584;28;48;10;0;;
ПРОДУКТ;Арахисовая паста crunchy momo;557;28;45;10;0;;
ПРОДУКТ;Арахисовая паста «LA PINA;640.3;28;53;11;0;;
ПРОДУКТ;Арахисовая паста Кранч с гималайской розовой солью;550;24;45;6;0;;
ПРОДУКТ;Арахисовая паста гималайская соль;550;24;45;6;0;;
ПРОДУКТ;Арахисовая паста классическая;605;27;49;10;0;;
ПРОДУКТ;Арахисовая паста классическая без сахара;650;26;53;13;0;;
ПРОДУКТ;Арахисовая паста кремовая;640;22;50;22;0;;
ПРОДУКТ;Арахисовая паста мягкая;594;18.8;53.1;21.9;0;;
ПРОДУКТ;Арахисовая паста с тёмным шоколадом;582.5;17.7;44.9;26.9;0;;
ПРОДУКТ;Арахисовая паста шоколадная;511;21.9;39.2;25.9;0;;
ПРОДУКТ;Арахисовая смесь с фруктами;571.53;8.38;33.98;58.06;0;;
ПРОДУКТ;Арахисовое масло GUSTO Crunchy;641;25;50;20.9;0;;
ПРОДУКТ;Арахисовый Батончик С Соленой Карамелью С Вкусом Ириса;521.6;11.4;28;56;0;;
ПРОДУКТ;Арахисовый Вкус;472;5.6;19;69;0;;
ПРОДУКТ;Арахичовая паста;560;26;45;13;0;;
ПРОДУКТ;Арбатские рогалики;268;8.3;2.2;52.4;0;;
ПРОДУКТ;Арбуз;27.17;0.6;0.1;5.8;0;;
ПРОДУКТ;Арбуз Мелисса;34;0;0;8.3;0;;
ПРОДУКТ;Арбуз Нарезанный;27;0.7;0.1;5.8;0;;
ПРОДУКТ;Арбуз консервированный;39.88;0.5;0.1;9;0;;
ПРОДУКТ;Арбуз маринованный;24;0.3;0.1;5.4;0;;
ПРОДУКТ;Арбузный сок;27.58;0.6;0.1;5.9;0;;
ПРОДУКТ;Аргентина;90.74;17.6;2;0;0;;
ПРОДУКТ;Ароматная мексиканская овощная смесь;35.5;1.9;0.2;6.5;0;;
ПРОДУКТ;Ароматный Плов С Говядиной И Барбарисом;204;8.4;10.4;19.2;0;;
ПРОДУКТ;Ароматный бездрожжевой хлеб с кориандром;223;7.5;1;46;0;;
ПРОДУКТ;Арония для иммунитета;353.73;4;10;60;0;;
ПРОДУКТ;Арракача;74.73;0.9;0.1;17.1;0;;
ПРОДУКТ;Артишок;30.45;1.2;0.1;6;0;;
ПРОДУКТ;Асафетида;1.75;0.1;0.1;0.1;0;;
ПРОДУКТ;Аскорбиновая кислота с глюкозой 100 мг;308;0;0;76.9;0;;
ПРОДУКТ;Ассорти Бондюэль из сладкого перца;26.05;1.1;0.2;4.8;0;;
ПРОДУКТ;Ассорти Бондюэль из фасоли с ананасами в соусе Карри;63.93;3.8;1.1;9.3;0;;
ПРОДУКТ;Ассорти Бондюэль из цветной капусты, романеско и брокколи;67.72;1.8;2.7;8.6;0;;
ПРОДУКТ;Ассорти В Молочном Шоколаде;525;9.65;33.38;46.48;0;;
ПРОДУКТ;Ассорти Суфле;313;1.5;21;29.4;0;;
ПРОДУКТ;Ассорти грибное в маринаде;24.28;2.87;0;1.45;0;;
ПРОДУКТ;Ассорти мини-ляпунов;189.43;5.23;1.57;38.6;0;;
ПРОДУКТ;Ассорти мясное;268.33;11.3;23.5;0.9;0;;
ПРОДУКТ;Ассорти овощное;18.56;1;0.1;3.3;0;;
ПРОДУКТ;Ассорти ореховое №1;670;17;55;21;0;;
ПРОДУКТ;Ассорти рыбное;88.35;10.4;4.7;0.5;0;;
ПРОДУКТ;Ассорти с молоком каша овсяная без варки;350;8.75;5;65;0;;
ПРОДУКТ;Ассорти сыра Шевр из козьего молока в масле;273;22.8;20.3;0;0;;
ПРОДУКТ;Астория шаурма;410;1;42;8;0;;
ПРОДУКТ;Ацерола;36;0.4;0.3;7.7;0;;
ПРОДУКТ;Ацидобифилин сладкий;78;3.1;2.2;11.5;0;;
ПРОДУКТ;Ацидофилин;54.8;2.8;3.2;3.7;0;;
ПРОДУКТ;Ацидофилин 0.1;29.22;3;0.1;3.9;0;;
ПРОДУКТ;Ацидофилин 1;37.99;3;1;4;0;;
ПРОДУКТ;Ацидофилин 3.2;56.79;2.8;3.2;3.8;0;;
ПРОДУКТ;Ацидофилин 3.2% сладкий;76.47;2.8;3.2;8.6;0;;
ПРОДУКТ;Ацидофилин Останкинский 2.5;51.92;2.8;2.5;4.2;0;;
ПРОДУКТ;БАНАНОВАЯ МУКА;350;2.4;0;84;0;;
ПРОДУКТ;БАНАНОВОЕ ПЕЧЕНЬЕ;576;4.24;35.9;58.7;0;;
ПРОДУКТ;БАТОНЧИКИ КЛАССИЧЕСКИЕ конфеты с корпусом пралине неглазированные (13 шт в упаковке;530;8;28;61;0;;
ПРОДУКТ;БЕКОН СИНИЙ;473.68;36.84;36.84;0;0;;
ПРОДУКТ;БИО яйца;153;12.64;10.76;1.4;0;;
ПРОДУКТ;Бабаевский Тёмный С Целым Миндалём;550;10;37;41;0;;
ПРОДУКТ;Бабаевский горький;540;8.5;35;42;0;;
ПРОДУКТ;Бабаевский фундук изюм;520;7;32;47;0;;
ПРОДУКТ;Бабкины семечки» жареные по-домашнему Соленые белые подсолнечник;581;27;49;8.5;0;;
ПРОДУКТ;Бавария светлое безалкогольное;24;0;0;4;0;;
ПРОДУКТ;Баварский медово-горчичный соус;270;0.7;25;11.8;0;;
ПРОДУКТ;Баветте;346.23;11;1.3;70.5;0;;
ПРОДУКТ;Багель;347.27;7.9;9.4;55.5;0;;
ПРОДУКТ;Багет;245;7.8;2.4;53.5;0;;
ПРОДУКТ;Багет Молочный (изделие хлебобулочное сдобное;290;9;5;55;0;;
ПРОДУКТ;Багет Простой;290;8;4;56;0;;
ПРОДУКТ;Багет Пшеничный;285.4;8;3.8;54.8;0;;
ПРОДУКТ;Багет Пшеничный С Чесноком;264.5;6;8.5;41;0;;
ПРОДУКТ;Багет Ржаной С Чесноком;284.7;6.6;9.5;43.2;0;;
ПРОДУКТ;Багет Сметана І Зелень;448;10;15.4;66;0;;
ПРОДУКТ;Багет Сметана с Зеленью;430;6;25;45;0;;
ПРОДУКТ;Багет Сухарики;450;10;15;68;0;;
ПРОДУКТ;Багет Традиционный;280;8.5;1;60;0;;
ПРОДУКТ;Багет Французский;221;6.9;0.6;47;0;;
ПРОДУКТ;Багет Французский (мини;270;9;1.8;56;0;;
ПРОДУКТ;Багет мини, пшеничный;314;9.6;1.8;68.6;0;;
ПРОДУКТ;Багет парижский;314;9.6;1;68.6;0;;
ПРОДУКТ;Багет ржаной;240;0.2;2.1;47.6;0;;
ПРОДУКТ;Багет ржаной с чесноком, половинка;300;6.5;14;45.1;0;;
ПРОДУКТ;Багет с кунжутом на закваске;280;8.5;3.5;55;0;;
ПРОДУКТ;Багет чесночный;376.7;7.3;16.7;49.3;0;;
ПРОДУКТ;Багети - Лобстер;422;10.5;9.9;72.7;0;;
ПРОДУКТ;Бадем Елит Малък;603;23.75;50.89;18.3;0;;
ПРОДУКТ;Бадьян;427.44;18;16;50;0;;
ПРОДУКТ;Базилик свежий;33.45;2.5;0.6;4.3;0;;
ПРОДУКТ;Базилик сушеный;346.3;14.4;4;61;0;;
ПРОДУКТ;Байкал;17;0;0;4;0;;
ПРОДУКТ;Байкал энер;45;0;0;11;0;;
ПРОДУКТ;Баклажан;24.3;1.2;0.1;4.5;0;;
ПРОДУКТ;Баклажан консервированный;40.12;0.9;0.7;7.3;0;;
ПРОДУКТ;Баклажанная Икра В Аджике;50;0.5;1.5;8;0;;
ПРОДУКТ;Баклажанная икра консервированная;151.44;1.7;13.3;5.1;0;;
ПРОДУКТ;Баклажанная икра свежая;92.09;0.6;7;6;0;;
ПРОДУКТ;Баклажаны 4 сезона запечённые порционные;46.96;2.1;0.2;8.9;0;;
ПРОДУКТ;Баклажаны 4 сезона нарезанные;27.58;1.3;0.1;5.2;0;;
ПРОДУКТ;Баклажаны В Аджике;50;0.5;1.5;8;0;;
ПРОДУКТ;Баклажаны по-домашнему;80;1.5;5;8;0;;
ПРОДУКТ;Баклажаны по-корейски готовые;110.26;0;9;6.5;0;;
ПРОДУКТ;Баклажаны по-сычуаньски;250.2;1.9;17.8;20.6;0;;
ПРОДУКТ;Баклажаны с овощами;50;1;2;6.5;0;;
ПРОДУКТ;Баклажаны фаршированные готовые;92.75;1.5;6.1;7.3;0;;
ПРОДУКТ;Балканах кисле мляко 3,6;62;3.2;3.6;4.3;0;;
ПРОДУКТ;Балканах кисле мляко 4,5;70.5;3.2;4.5;4.3;0;;
ПРОДУКТ;Балтика 0;30;0;0;5.5;0;;
ПРОДУКТ;Балык Дарницкий сервировочная нарезка;140;23;5;1;0;;
ПРОДУКТ;Балык копченый;300;22.6;23;0;0;;
ПРОДУКТ;Бальзам Рижский Чёрный Оригинальный;280;0;0;5.5;0;;
ПРОДУКТ;Бамбук листья;24.6;2;0;4;0;;
ПРОДУКТ;Бамбук побеги вареные;11.7;1.5;0.2;0.9;0;;
ПРОДУКТ;Бамбук побеги консервированные;18.07;1.7;0.4;1.8;0;;
ПРОДУКТ;Бамбук побеги сырые;25.75;2.6;0.3;3;0;;
ПРОДУКТ;Бамия;24.71;2;0.1;3.8;0;;
ПРОДУКТ;Бамия 4 сезона;34.55;0.2;0.1;8;0;;
ПРОДУКТ;Банан;97.39;1.5;0.2;21.8;0;;
ПРОДУКТ;Банан В Молочном Шоколаде;327;4.3;18.2;36.4;0;;
ПРОДУКТ;Банан В Тёмном Шоколаде;379;4.5;13;61;0;;
ПРОДУКТ;Банан-яблуко;50;0.4;0;12;0;;
ПРОДУКТ;Банана Голубика вафельный рожок;189;3.33;7.78;26.7;0;;
ПРОДУКТ;Банановые Чипсы;520;2.5;34;50;0;;
ПРОДУКТ;Банановый пай Fruit & Nut Bar;400;7;17;53;0;;
ПРОДУКТ;Банановый сок;49.2;0;0;12;0;;
ПРОДУКТ;Банановый трайфл;345.45;20;12.72;23.63;0;;
ПРОДУКТ;Бананы Вяленые В Какао;239.4;3.5;0.6;55;0;;
ПРОДУКТ;Бананы вяленые;245;4.5;0.6;54;0;;
ПРОДУКТ;Бананы вяленые Natur Foods;240;4.5;0.5;54;0;;
ПРОДУКТ;Бананы сушёные;362.76;3.9;1.8;80.5;0;;
ПРОДУКТ;Баница С Кашкавал;333;9;17;36;0;;
ПРОДУКТ;Бантики;348;12;1.1;71;0;;
ПРОДУКТ;Бар Милка;543.42;5.65;33.04;56.09;0;;
