Тип;Название;Ккал;Белки;Жиры;Углеводы;МассаПорции;Примечание;Источник
ПРОДУКТ;Airwaves;143;0;0;60;0;;
ПРОДУКТ;Ajvar scharf;64;1.4;2.5;7.5;0;;
ПРОДУКТ;Akbar salati;137;2;9;12;0;;
ПРОДУКТ;Alaska-Seelachsfilets;121;13;1.2;14;0;;
ПРОДУКТ;Albeni;506;5.3;26;62;0;;
ПРОДУКТ;Albeni Latte;490;5.2;24;63;0;;
ПРОДУКТ;Albeni XXL;486;3.9;26.3;58.4;0;;
ПРОДУКТ;Albeni Карамельный крем;532;7.2;27.7;62.4;0;;
ПРОДУКТ;Albert mleko plnotucne 3,5;64;3.3;3.5;4.7;0;;
ПРОДУКТ;Almette;256;6.7;24;3.2;0;;
ПРОДУКТ;Almond;39;0.8;2.5;3;0;;
ПРОДУКТ;Almond Milk;15;0.5;1.4;0;0;;
ПРОДУКТ;Almond No Added Sugar;38;0.9;2.2;3;0;;
ПРОДУКТ;Almond cake;403;11;27;30;0;;
ПРОДУКТ;Almonds, Raw;552;21.2;48.9;6.8;0;;
ПРОДУКТ;Alpaka Cola;354;0.1;0.2;86;0;;
ПРОДУКТ;Alpen Gold - 90;491;5.4;26;59;0;;
ПРОДУКТ;Alpen Gold strawberry yogurt milk chocolate;563;4.9;35;55;0;;
ПРОДУКТ;Alpen gold max fun;502;5.2;24;64;0;;
ПРОДУКТ;Alpro Soya;39;3;1.7;2.5;0;;
ПРОДУКТ;Alpro Soya No Sugars;33;3.3;1.8;0.5;0;;
ПРОДУКТ;Alpro Soya drink Banana flavor;58;3;1.8;7.3;0;;
ПРОДУКТ;Altero Golden масло подсолнечное с добавлением оливкового;899;0;99.9;0;0;;
ПРОДУКТ;Amare вареная сгущенка;510;5;26;64;0;;
ПРОДУКТ;Ambrasiana Delizie;520;5.4;29;58;0;;
ПРОДУКТ;Amor di Pane;426.39;11;12;67;0;;
ПРОДУКТ;Ananasje Jus d’ananas;48;0.2;0;11.2;0;;
ПРОДУКТ;Angel Hair;508;6.1;28;58;0;;
ПРОДУКТ;Anko Paste;267;4.4;1;59.1;0;;
ПРОДУКТ;Anteo Fıstığı Aromalı Vanilya Kakao;164;2.6;6.4;24;0;;
ПРОДУКТ;Antioxidant;17;0;0;4.2;0;;
ПРОДУКТ;Apceptas brētliņas tomātu mērcē 240g;149;9;5;11;0;;
ПРОДУКТ;Aperol;660.1;0.1;0;63;0;;
ПРОДУКТ;Apfelsaft;43;0.5;0.5;10;0;;
ПРОДУКТ;Apfelschorle;23;0;0;5.6;0;;
ПРОДУКТ;Apollo Lakkrís Súkkulaði;503;7.2;26;55;0;;
ПРОДУКТ;Appelsiini-mandarine juoma;32;0;0;8;0;;
ПРОДУКТ;Apple - Grape Juice;49;0;0;12;0;;
ПРОДУКТ;Apple Juice (From Concentrate;45;0.1;0.1;11;0;;
ПРОДУКТ;Apple chips;338;2.2;0.1;73.9;0;;
ПРОДУКТ;Apple juice;53;0;0;13;0;;
ПРОДУКТ;Apple-Pear Juice;40;0.4;0;9.5;0;;
ПРОДУКТ;Apple-pear-blueberry-raspberry;57;0.4;0.5;12.4;0;;
ПРОДУКТ;Apricot smoothie;48;0.1;0.1;12;0;;
ПРОДУКТ;Arance marmellata di;254;0;0;63;0;;
ПРОДУКТ;Aranciata Rossa (orange sanguine;38;0;0;9.1;0;;
ПРОДУКТ;Aranciata Rossa Sparkling Water;38;0.1;0;8.9;0;;
ПРОДУКТ;Aromatični Mandarina;18;0;0;4.3;0;;
ПРОДУКТ;Astrakhan Fish Dried Calamari;280.9;35.1;4.5;25;0;;
ПРОДУКТ;Atlantic Salmon fillet;61.2;22;7;0;0;;
ПРОДУКТ;Auksinės razinos;292;2.7;0.4;69;0;;
ПРОДУКТ;Aura Fruit Mustikas;23;0;0;5.55;0;;
ПРОДУКТ;Aurutatud Peet;53;1.6;0;10.2;0;;
ПРОДУКТ;Author's milk chocolate bar - strawberries and pistachio;652;3;60;35;0;;
ПРОДУКТ;Auzu Biezputra ar zemenem;100;10;5.9;1;0;;
ПРОДУКТ;Avocado;21;0.9;0.1;3.3;0;;
ПРОДУКТ;Ayran;41;1.9;2;3.8;0;;
ПРОДУКТ;Azersud;59;3.1;3.2;4.4;0;;
ПРОДУКТ;BA! Kakao mleko;407;4.9;9.7;73;0;;
ПРОДУКТ;BBB Sos Chipotle;115;1.2;0.5;23;0;;
ПРОДУКТ;BBQ острая для гриля и шашлыка;217.97;7.9;3.1;33.1;0;;
ПРОДУКТ;BCAA Powder вкус апельсин;379;85.3;0.4;2.9;0;;
ПРОДУКТ;BEST WHEY PROTEIN;385;73;6.7;6.1;0;;
ПРОДУКТ;BGOXHOBEHUE;536;6.5;34;51;0;;
ПРОДУКТ;BUCHERON 72;550;8;40;31;0;;
ПРОДУКТ;BURRATA;250.48;11.2;16;1.6;0;;
ПРОДУКТ;Babayevskiy Elite Chocolate 75;525.81;10.5;37;32;0;;
ПРОДУКТ;Babkini Sunflower Seeds;642.86;14.29;46.43;32.14;0;;
ПРОДУКТ;Babushkina Krynka;90;3.2;2;14.8;0;;
ПРОДУКТ;Babyfox молочный шоколад;570;8;38;49;0;;
ПРОДУКТ;Bad apple;35.8;0;0;9.2;0;;
ПРОДУКТ;Bagete ar vistas fileju un mērci;192;8.2;3.32;31;0;;
ПРОДУКТ;Bahlsen Leibniz Butter Biscuitsleibniz;441;8.4;12;74;0;;
ПРОДУКТ;Bake Rolls salt;443;14;14.5;62;0;;
ПРОДУКТ;Baked Bar Oat;400;40;10;36;0;;
ПРОДУКТ;Baked Spiced Croutons For Salad;465;11;17;67;0;;
ПРОДУКТ;Baked beans;79;4.3;0.6;11;0;;
ПРОДУКТ;Balancer;240;15;8;14;0;;
ПРОДУКТ;Balkabaklı frappe;37;0.5;0.9;6.4;0;;
ПРОДУКТ;Baltika;30;0;0;5.5;0;;
ПРОДУКТ;Baltymai;364;90;1.5;2;0;;
ПРОДУКТ;Bam Buk Condensed Milk;470;4.5;17;74;0;;
ПРОДУКТ;Banana Chips;490;1.33;20;76.67;0;;
ПРОДУКТ;Banana Cocktail;55;8;0.4;5.2;0;;
ПРОДУКТ;Banana Land Yummi Gummi;333;8;0;77.5;0;;
ПРОДУКТ;Banana protein bar;478;28;18;51;0;;
ПРОДУКТ;Banana yoghurt;108;2.8;5.1;13;0;;
ПРОДУКТ;Banana-strawberry cocktail;70;1.5;3;9.5;0;;
